director,actor1Name,actor2Name,actor3Name,duration,contentRating,net_revenue,imdbScore
"David Bowers","Zachary Gordon","Rachael Harris","Karan Brar",94,PG,27002815,6.4
"Spike Lee","Mira Sorvino","Jennifer Esposito","Mike Starr",142,R,-2716218,6.6
"Kevin Smith","Will Ferrell","Shannon Elizabeth","Jason Mewes",104,R,8059386,6.9
"Michael Bay","Scarlett Johansson","Steve Buscemi","Djimon Hounsou",136,PG-13,-90200974,6.9
"Daniel Sackheim","Chris Noth","Bruce Dern","Trevor Morgan",106,PG-13,-12048569,5.8
"Ethan Coen","Scarlett Johansson","Channing Tatum","Alden Ehrenreich",106,PG-13,7997095,6.4
"Harry Elfont","Rosario Dawson","Paulo Costanzo","Aries Spears",98,PG-13,-7747170,5.3
"Gary Fleder","Jason Statham","James Franco","Frank Grillo",100,R,-2216223,6.5
"Uli Edel","Richard E. Grant","Jim Carter","Alice Krige",95,PG,-8444012,5.7
"David O. Russell","Naomi Watts","Lily Tomlin","Isabelle Huppert",107,R,-9215287,6.7
"Fred Dekker","CCH Pounder","Rip Torn",Mako,104,PG-13,-12803790,3.9
"Brian Trenchard-Smith","Michael Biehn","Udo Kier","Franco Nero",104,PG-13,-16025347,4.1
"Blake Edwards","Rock Hudson","Vernon Dobtcheff","Jeremy Kemp",143,G,-20000000,6.2
"Hugh Wilson","Brendan Fraser","Alex Rocco","Eric Idle",77,PG,-12305895,3.8
"Camille Delamarre","Ed Skrein","Noémie Lenoir","Radivoje Bukvic",96,PG-13,-8972134,5.1
"Laurence Dunmore","Johnny Depp","Jack Davenport","Richard Coyle",114,R,4829497,6.4
"Paul Verhoeven","Michiel Huisman","Sebastian Koch","Christian Berkel",145,R,-16601608,7.8
"Christian Carion","Gary Lewis","Dany Boon","Ian Richardson",116,PG-13,-20949555,7.8
"David Palmer","Bradley Cooper","Tom Arnold","Beau Bridges",100,R,11746550,6.1
"Callie Khouri","Stephen Root","Ted Danson","Roger Cross",104,PG-13,-1331157,5.8
"Rowan Joffe","Colin Firth","Ben Crompton","Anne-Marie Duff",92,R,-19036988,6.3
"William Friedkin","Roy Scheider","Joe Spinell",Amidou,92,PG,-12000000,7.7
"John Curran","Robert De Niro","Milla Jovovich","Frances Conroy",105,R,-20203976,5.4
"Laurent Tirard","Romain Duris","Ludivine Sagnier","Fabrice Luchini",120,PG-13,-15365723,7.3
"Scott Cooper","Christian Bale","Sam Shepard","Dendrie Taylor",116,R,-10673164,6.8
"Tony Gilroy","Tom Wilkinson","Denis O'Hare","Sydney Pollack",119,R,24024969,7.3
"Peter Segal","Wilford Brimley","Bradley Whitford","Sela Ward",101,PG-13,794341,6.5
"Mark Pellington","Jeff Bridges","Spencer Treat Clark","Hope Davis",117,R,2862501,7.2
"Juan José Campanella","Pablo Rago","Diego Ramos","Gabriel Almirón",106,PG,-22000000,6.7
"Woody Allen","Ornella Muti","Judy Davis","Alessandra Mastronardi",112,R,-315648,6.3
"Clint Eastwood","Clint Eastwood","Warren Clarke","Kenneth Colley",136,PG,25700000,5.9
"Trey Parker","Minnie Driver","Eric Idle","Trey Parker",81,R,31008288,7.8
"Frank Oz","Peter Dinklage","Ewen Bremner","Kris Marshall",87,R,-420316,7.4
"Stuart Gillard","Paige Turco","John Aylward","Matt Hill",96,PG,25660000,4.8
"Brian Robbins","Keanu Reeves","D.B. Sweeney","DeWayne Warren",106,PG-13,19219708,6.3
"David O. Russell","Jennifer Lawrence","Robert De Niro","Bradley Cooper",122,R,111088910,7.8
"Richard LaGravenese","Hunter Parrish","Scott Glenn","Imelda Staunton",123,PG-13,15581633,7.5
"Tyler Perry","Omari Hardwick","Loretta Devine","Kimberly Elise",133,R,37721949,6
"Louis Leterrier","Jason Statham","Qi Shu","Matt Schulze",92,PG-13,4296447,6.8
"Jeff Wadlow","Djimon Hounsou","Neil Brown Jr.","Leslie Hope",110,PG-13,4848292,6.6
"Katt Shea","Jason London","Rachel Blanchard","Eddie Kaye Thomas",104,R,-3242913,4.6
,"Chris Harrison",,,60,,-3000000,2.9
"Sam Mendes","Catherine O'Hara","Jim Gaffigan","Carmen Ejogo",98,R,-7569012,7.1
"Joshua Michael Stern","Madeline Carroll","Judge Reinhold","Nathan Lane",120,PG-13,-4715640,6.1
"Brad Silberling","Jake Gyllenhaal","Holly Hunter","Bob Clendenin",112,PG-13,-14169043,6.7
"Tomas Alfredson","Benedict Cumberbatch","Colin Firth","Gary Oldman",127,R,4104113,7.1
"John Duigan","Elaine Hendrix","Jill Hennessy","Sarah Wynter",102,PG-13,-20984407,5.8
"Jodie Foster","Jennifer Lawrence","Cherry Jones","Riley Thomas Stewart",91,PG-13,-20041681,6.7
"Colin Higgins","Dolly Parton","Barry Corbin","Dom DeLuise",114,R,34700000,5.8
"David Cronenberg","Jennifer Jason Leigh","Sarah Polley","Callum Rennie",115,R,-28159583,6.8
"Steven Spielberg","Harrison Ford","Karen Allen","William Hootkins",115,PG,224374454,8.5
"Chris Columbus","Macaulay Culkin","Kieran Culkin","Devin Ratray",120,PG,155585516,6.6
"Steven Spielberg","Bob Balaban","Teri Garr","Melinda Dillon",135,PG,108899130,7.7
"Jim Sonzero","Ian Somerhalder","Christina Milian","Rick Gonzalez",90,PG-13,259297,4.7
"Tony Scott","Dean Stockwell","Judge Reinhold","Ronny Cox",100,R,125665036,6.4
"Adam Shankman","Angus T. Jones","Kimberly J. Brown","Steve Harris",105,PG-13,99541238,5.5
"Jonathan Demme","Anthony Hopkins","Scott Glenn","Anthony Heald",138,R,111727000,8.6
"Penelope Spheeris","Tia Carrere","Lara Flynn Boyle","Kurt Fuller",94,PG-13,101697350,7
"Jeff Tremaine","Bam Margera",Steve-O,"Chris Pontius",101,R,97224271,7.1
"Jeannot Szwarc","Roy Scheider","Murray Hamilton","Joseph Mascolo",131,PG,82922376,5.7
"Raja Gosnell","Jamie Lee Curtis","Nick Zano","Ali Hillis",91,PG,74497271,3.7
"James Wan","Mackenzie Foy","Lili Taylor","Hayley McFarland",112,R,117387272,7.5
"Brian Levant","Nia Long","Tracy Morgan","Jay Mohr",95,PG,50301521,4.6
"Ben Falcone","Gary Cole","Mark Duplass","Ben Falcone",100,R,64518155,4.9
"D.J. Caruso","Sarah Roemer","Aaron Yoo","Jose Pablo Cantillo",105,PG-13,60050171,6.9
"Richard Linklater","Miranda Cosgrove","Sarah Silverman","Mike White",108,PG-13,46257845,7.1
"Paul W.S. Anderson","Christopher Lambert","Cary-Hiroyuki Tagawa","Bridgette Wilson-Sampras",101,PG-13,52360285,5.8
"Paul McGuigan","Jessica Paré","Christopher Cousins","Mark Camacho",114,PG-13,-17168879,7
"Keenen Ivory Wayans","Busy Philipps","Jaime King","Brittany Daniel",109,PG-13,32148997,5.4
"Alexander Payne","Shailene Woodley","Nick Krause","Beau Bridges",115,R,62624961,7.3
"Andrew Davis","Tim Blake Nelson","Zane Holtz","Ski Carr",117,PG,47325559,7.1
"Julie Anne Robinson","Kelly Preston","Bobby Coleman","Melissa Ordway",107,PG,42933793,5.8
"Steve McQueen","Quvenzhané Wallis","Scoot McNairy","Taran Killam",134,R,36667870,8.1
"Charles Stone III","Leonard Roberts","Nick Cannon","Jason Weaver",118,PG-13,36398162,5.7
"Tyler Perry","Michael Jai White","Cicely Tyson","Tasha Smith",121,PG-13,40072596,4.4
"Tim Burton","Johnny Depp","Dianne Wiest","Conchata Ferrell",105,PG-13,36362352,7.9
"Thea Sharrock","Sam Claflin","Emilia Clarke","Brendan Coyle",110,PG-13,36154094,7.6
"Tyler Perry","John Amos","Tom Arnold","Romeo Miller",114,PG-13,45623128,4.8
"William Friedkin","Roy Scheider","Fernando Rey","Tony Lo Bianco",104,R,-1800000,7.8
"Jon Lucas","Mila Kunis","Jay Hernandez","Jada Pinkett Smith",100,R,35461307,6.7
"Aaron Seltzer","Alyson Hannigan","Carmen Electra","Fred Willard",85,PG-13,28546578,2.7
"Robin Budd","Roger Rees","Rob Paulsen","Spencer Breslin",72,G,28423368,5.8
"Ava DuVernay","David Oyelowo","Tom Wilkinson","Oprah Winfrey",128,PG-13,32066000,7.5
"Steve Trenbirth","Haley Joel Osment","Phil Collins","Tony Jay",72,G,27887943,5.4
"Stephen Kay","Barry Watson","Skye McCole Bartusiak","Charles Mesure",89,PG-13,26363118,4.1
"Mennan Yapo","Nia Long","Amber Valletta","Marc Macaulay",96,PG-13,27852604,5.9
"Jun Falkenstein","Kath Soucie","John Fiedler","Ken Sansom",77,G,15542421,6.3
"Jaume Collet-Serra","Jimmy Bennett","CCH Pounder","Aryana Engineer",123,R,41573740,7
"Boaz Yakin","Jay Hernandez","Joseph Julian Soria","Edgar Arreola",111,PG,22652003,6.8
,"Lamman Rucker","David Mann","Denise Boutte",30,,0,3.5
"Jason Friedberg","David Carradine","Carmen Electra","Fred Willard",93,PG-13,19737645,2.3
"John Milius","William Smith",Mako,"Sandahl Bergman",129,R,17567440,6.9
"Tom McCarthy","Billy Crudup","Jamey Sheridan","Brian d'Arcy James",128,R,24988180,8.1
"Neil LaBute","Jay Hernandez","Justin Chambers","Robert Pine",110,PG-13,17263506,6.1
"Takashi Shimizu","Sarah Michelle Gellar","Sarah Roemer","Matthew Knight",137,PG-13,19143839,5
"Kevin Rodney Sullivan","Richard Lawson","James Pickens Jr.","Barry Shabaka Henley",124,R,17672350,5.5
"Peter Hewitt","Keanu Reeves","George Carlin","Alex Winter",93,PG,18037513,6.2
"Barry Levinson","Robin Williams","Tina Fey","Amy Poehler",115,PG-13,17442180,6.2
"Gary Nelson","Robert Forster","Maximilian Schell","Yvette Mimieux",98,PG,-20000000,5.9
"Anton Corbijn","Violante Placido","Thekla Reuten","Filippo Timi",105,R,15596227,6.3
"Gregory Nava","Jon Seda","Constance Marie","Jacob Vargas",127,PG,15422828,6.7
"Jason Friedberg","Diedrich Bader","Dave Foley","Anneliese van der Pol",82,PG-13,16658108,3.5
"Alejandro G. Iñárritu","Brad Pitt","Harriet Walter","Dermot Crowley",143,R,9300771,7.5
"Shawn Levy","Tina Fey","Abigail Spencer","Jane Fonda",103,R,14490142,6.6
"John Patrick Shanley","Philip Seymour Hoffman","Meryl Streep","Carrie Preston",104,PG-13,13422556,7.5
"Trey Parker","Jeremy Shada","Maurice LaMarche","Trey Parker",98,R,2774834,7.2
"John Luessenhop","Gunnar Hansen","Keram Malicki-Sánchez","Shaun Sipos",92,R,23334256,4.8
"Jon Amiel","William McNamara","Holly Hunter","Harry Connick Jr.",123,R,12051917,6.6
"Malcolm D. Lee","Marisa Saks","Snoop Dogg","Molly Shannon",88,PG-13,12014289,3.5
"Joshua Logan","Clint Eastwood","Lee Marvin","Ray Walston",158,PG-13,-20000000,6.7
"Gus Van Sant","James Franco","Denis O'Hare","Lucas Grabeel",128,R,11838002,7.6
"Kevin Reynolds","Peter Firth","Jan Cornet","María Botto",107,PG-13,16874745,6.3
"Steve Beck","Isaiah Washington","Ron Eldard","Francesca Rettondini",91,R,-4920684,5.5
"Todd Strauss-Schulson","Patton Oswalt","Thomas Lennon","Paula Garcés",90,R,16033759,6.3
"John McNaughton","Bill Murray","Robert Wagner","Jeff Perry",115,R,9753944,6.5
"Nelson McCormick","Sela Ward","Paige Turco","Skyler Samuels",101,PG-13,29062561,5.6
"John Madden","Tom Wilkinson","Jesper Christensen","Romi Aboulafia",113,R,11146570,6.9
"Stephen Frears","Drake Bell","Lili Taylor","Lisa Bonet",113,R,7277055,7.6
"Eric Valette","Johnny Lewis","Jason Beghe","Margaret Cho",87,PG-13,-123471,3.9
"John Schlesinger","Joe Mantegna","Beverly D'Angelo","Philip Baker Hall",101,R,33146000,6.1
"Roger Donaldson","Jason Statham","Saffron Burrows","Daniel Mays",111,R,10028592,7.3
"Michel Gondry","Kate Winslet","Kirsten Dunst","Tom Wilkinson",108,R,14126138,8.3
"Andy Fickman","Jamie Lee Curtis","James Wolk","Christine Lakin",105,PG,5677801,5.8
"David Ayer","Keanu Reeves","Chris Evans","Noel Gugliemi",109,R,6415649,6.8
"Edgar Wright","Michael Smiley","Thomas Law","Jasper Levine",109,R,6003149,7
"Andrew Fleming","Kay Panabaker","Laura Harring","Tate Donovan",99,PG,5584685,5.9
"Michael Spierig","Jay Laga'aia","Damien Garvey","Tiffany Lamb",98,R,9975979,6.5
"Jim Field Smith","Mike Vogel","Kim Shaw","Geoff Stults",104,R,11584722,6.4
"Thomas Bezucha","Leighton Meester","Luke Bracey","Brett Cullen",109,PG,3179303,5.8
"William Brent Bell","Adam Goldberg","Frankie Muniz","Samaire Armstrong",75,PG-13,14078294,5.1
"Simon Wincer","Alan Rickman","Tom Selleck","Ben Mendelsohn",119,PG-13,1413105,6.8
"Anthony Bell","Kevin Sussman","Larry Miller","Christine Lakin",90,PG,5077977,5.3
"Renny Harlin","Laura Ramsey","Kyle Schmid","Toby Hemingway",97,PG-13,3292105,5.3
"Jessica Bendinger","Jeff Bridges","Vanessa Lengies","John Patrick Amedori",103,PG-13,26870825,6.4
"Robert Rodriguez","Jimmy Bennett","Leo Howard","Jake Short",89,PG,-19083691,4.9
"Gus Van Sant","Kurtwood Smith","Wayne Knight","Holland Taylor",106,R,1200000,6.8
"Henry Joost","Samira Wiley","Marc John Jefferies","Emily Meade",96,PG-13,8876924,7.1
"Ed Harris","Viggo Mortensen","James Gammon","Tom Bower",115,R,20207003,6.8
"John Carpenter","Sheryl Lee","Cary-Hiroyuki Tagawa","Maximilian Schell",104,R,241395,6.1
,"Pablo Sevilla",,,24,,0,7
"Alfred Hitchcock","Janet Leigh","Vera Miles","John Gavin",108,R,31193053,8.5
"Howard Deutch","Dane Cook","Taran Killam","Riki Lindhome",112,R,-20848136,5.9
"Shana Feste","Alex Pettyfer","Bruce Greenwood","Rhys Wakefield",104,PG-13,3393765,6.3
"Garry Marshall","Hector Elizondo","Zachary Gordon","Jane Fonda",113,R,-1117120,5.9
"Steve Rash",Mako,"Adam Arkin","Billy Barty",98,PG,-11500000,5.4
"Richard Donner","Matthew Broderick","John Wood","Leo McKern",121,PG-13,-20000000,7
"Mark Steven Johnson","Oliver Platt","Jan Hooks","Dana Ivey",114,PG,-11747316,6.9
"Mike Binder","Adam Sandler","Don Cheadle","John de Lancie",124,R,-338013,7.5
"Sean Penn","Kristen Stewart","William Hurt","Hal Holbrook",148,R,3352454,8.2
"Todd Phillips","Jon Heder","Sarah Silverman","Jacinda Barrett",108,PG-13,-2196204,5.9
"Michael J. Bassett","Radha Mitchell","Deborah Kara Unger","Martin Donovan",95,R,-2470843,5
"Robert Rodriguez","Quentin Tarantino","Salma Hayek","Cheech Marin",108,R,6753840,7.3
"Frank Nissen","Kath Soucie","Brenda Blethyn","John Fiedler",68,G,-1918374,6.4
"Jodie Foster","Robert Downey Jr.","Holly Hunter","Steve Guttenberg",103,PG-13,-2481780,6.6
"Stephen Chow","Shengyi Huang","Chi Ling Chiu","Qiu Yuen",99,R,-2895331,7.8
,"Leah Remini","Mark Feuerstein","Sharon Lawrence",30,,0,6.7
"Peter Hastings","Haley Joel Osment","Alex Rocco","Stephen Root",88,G,-18011004,4
"Marc Forster","Mustafa Haidari","Shaun Toub","Khalid Abdalla",128,PG-13,-4202093,7.6
"Alejandro G. Iñárritu","Naomi Watts","Eddie Marsan","Danny Huston",124,R,-3751299,7.7
"Paul Abascal","Cole Hauser","Tom Hollander","Kelly Carlson",84,PG-13,-4287928,5.8
"Catherine Hardwicke","Kristen Stewart","Taylor Lautner","Anna Kendrick",122,PG-13,154449475,5.2
"Chris Koch","Thomas Lennon","Lochlyn Munro","James Brolin",101,PG-13,-4591178,5.6
"Amy Heckerling","Andy Dick","Robert Miano","Zak Orth",98,PG-13,-4535974,5.3
"Michael Moore","Ronald Reagan","Michael Moore","Bernie Sanders",105,R,14359793,7.4
"George Stevens","Martin Landau","Carroll Baker","José Ferrer",225,G,-12000000,6.6
"Billy Ray","Julia Roberts","Michael Kelly","Joe Cole",111,PG-13,-19500000,6.2
"Jason Friedberg","Carmen Electra","Tony Cox","Ike Barinholtz",88,PG-13,-10825346,1.9
"Nimród Antal","Andrew Fiscella","Fred Ward","Lorna Raver",88,PG-13,-11011124,5.7
"Jon Amiel","Bill Murray","Peter Gallagher","Joanne Whalley",94,PG,-6198245,6.6
"Mark Mylod","Chris Evans","Ari Graynor","Ed Begley Jr.",117,R,-6012518,6
"James Mather","Joseph Gilgun","Vincent Regan","Jacky Ido",95,PG-13,-5708430,6.1
"Barry Levinson","Amy Poehler","Ariel Gade","Sam Lerner",99,PG-13,-27818516,4.8
"Mark Neveldine","Jason Statham","Clifton Collins Jr.","David Carradine",96,R,-6369774,6.2
"Woody Allen","Jim Broadbent","Chazz Palminteri","Dianne Wiest",98,R,-6616263,7.5
"Michael O. Sajbel","James Callis","Tiffany Dupont","Nimrat Kaur",123,PG,-6608826,6.3
"Phillip Noyce","Brendan Fraser","Tzi Ma","Holmes Osborne",101,R,-17012353,7.1
"Gore Verbinski","Nicolas Cage","Hope Davis","Michael Rispoli",102,R,-9530189,6.6
"Walter Hill","Fisher Stevens","Wes Studi","Jon Seda",94,R,-7601372,6.1
"David Koepp","Aasif Mandvi","Dequina Moore","Jordan Carlos",102,PG-13,-6785970,6.7
"Renny Harlin","Taylor Cole","Ashley Scott","Nick Gomez",108,PG-13,-9767063,5.6
"Matt Reeves","Chloë Grace Moretz","Dylan Minnette","Kodi Smit-McPhee",116,R,-7865580,7.2
"Charles T. Kanganis","Victor Wong","Dustin Nguyen","Don Stark",93,PG,-8216000,4.3
"Michel Gondry","Quinton Aaron","Mia Farrow","Melonie Diaz",102,PG-13,-8830469,6.4
"Stephen Frears","Bob Hoskins","Christopher Guest","Sarah Solemani",103,R,-8965564,7.1
"John Hillcoat","Kate Winslet","Norman Reedus","Clifton Collins Jr.",115,R,-7373095,6.3
"Woody Allen","Woody Allen","Lynn Cohen","Judy Davis",96,R,-9430929,7.4
"Damon Santostefano","Matthew Perry","Oliver Platt","David Ramsey",98,PG-13,-9455857,6.1
"John Wells","Bradley Cooper","Omar Sy","Riccardo Scamarcio",101,R,-6349262,6.6
"Neil Jordan","Robert De Niro","Demi Moore","James Russo",106,PG-13,-9444652,6
"Woody Allen","Natasha Lyonne","Gaby Hoffmann","Jeff DeRocker",101,R,-10285518,6.8
"Frank Oz","Peter Dinklage","Ewen Bremner","Kris Marshall",87,R,-420316,7.4
"James Wan","Aisha Tyler","Kelly Preston","Edi Gathegi",111,R,-10474724,6.8
"Kirk Jones","Robert De Niro","James Frain","Brendan Sexton III",99,PG-13,-12144354,7.2
"Bob Clark","Scott Baio","Vanessa Angel","Peter Wingfield",88,PG,-10890678,1.9
"Les Mayfield","Miguel Ferrer","Susie Essman","Gigi Rice",83,PG-13,-24673965,5.5
"Les Mayfield","Callum Rennie","Will Patton","Cedric the Entertainer",91,PG-13,-11895931,4.5
"Michael Lembeck","Debbie Reynolds","Nia Vardalos","Dash Mihok",108,PG-13,-11945720,6.3
"Bob Fosse","Sammy Davis Jr.","Ricardo Montalban","Ben Vereen",154,G,-20000000,7
"Paul Thomas Anderson","Martin Dew","Katherine Waterston","Serena Scott Thomas",148,R,-11906682,6.7
"Dave Borthwick","Jimmy Fallon","Kylie Minogue","Jon Stewart",77,G,-12617007,2.8
"Benson Lee","Chris Brown","Caity Lotz","Laz Alonso",110,PG-13,-11111645,5
,"LeVar Burton","Eric McCormack","Scott Wolf",42,TV-14,0,7.5
"David Zucker","Chriss Anglin","Geoffrey Arend","Gary Coleman",83,PG-13,-4998280,4.3
"Robert Rodriguez","Alexa PenaVega","Demián Bichir","Marko Zaror",107,R,-12731341,5.6
"Glen Morgan","Laura Harring","Ty Olsson","Jackie Burroughs",100,PG-13,-15147856,6.2
"Fred Wolf","Kevin Alejandro","Ashley Scott","Jeff Garlin",87,R,-13436643,5.3
"Mike Leigh","Jim Broadbent","Dexter Fletcher","Lesley Manville",154,R,-3798243,7.4
"Alejandro Monteverde","Tom Wilkinson","Cary-Hiroyuki Tagawa","Michael Rapaport",106,PG-13,-13579681,7.4
"David Cronenberg","Michael Fassbender","Viggo Mortensen","Sarah Gadon",99,R,-9297917,6.5
"Richard Linklater","Robert Downey Jr.","Keanu Reeves","Rory Cochrane",100,R,-3219004,7.1
"Michael Apted","Gerard Butler","Abigail Spencer","Leven Rambin",116,PG,-13997244,7.2
"Uwe Boll","Catherine Lough Haggquist","Darren Shahlavi","Karin Konoval",94,R,-14867345,2.3
"Todd Graff","Scott Porter","Charlie Saxton","Ryan Donowho",111,PG,-14794657,6.4
"Jonathan Glazer","Cameron Bright","Anne Heche","Danny Huston",100,R,-14994117,6.1
"J.C. Chandor","David Oyelowo","Ashley Williams","Albert Brooks",125,R,-14250866,7
"Paul Gross","Landon Liboiron","Michael Greyeyes","Caroline Dhavernas",114,R,-20000000,6.5
"Marc Abraham","Dylan Authors","Bill Lake","Victoria Learn",119,PG-13,-15765960,7
"Todd Haynes","Christian Bale","Heath Ledger","Tyrone Benskin",135,R,-15998879,7
"Mabrouk El Mechri","Henry Cavill","Bruce Willis","Óscar Jaenada",93,PG-13,-16250939,4.9
"Rian Johnson","Zachary Gordon","Maximilian Schell","Nora Zehetner",114,PG-13,-16480373,6.9
"Charlie Kaufman","Philip Seymour Hoffman","Jennifer Jason Leigh","Samantha Morton",124,R,-17918075,7.5
"Hayao Miyazaki","Minnie Driver","Jada Pinkett Smith","Billy Crudup",134,PG-13,-2145185456,8.4
"Jean-Paul Rappeneau","Isabelle Adjani","Peter Coyote","Virginie Ledoyen",114,PG-13,-17646272,6.9
"Nancy Walker","Steve Guttenberg","Randy Jones","Caitlyn Jenner",124,PG,-18000000,4.5
"John Hillcoat","Ray Winstone","Noah Taylor","Danny Huston",104,R,-99275,7.4
"Angelo Pizzo","Donny Boaz","Finn Wittrock","Brent Anderson",118,PG,-17754000,7
"Richard Benjamin","Damon Wayans","Jane Krakowski","Paula Garcés",80,R,-18353336,2.8
"Kurt Wimmer","Christian Bale","Emily Watson","Sean Pertwee",107,R,-18809982,7.5
"Roger Spottiswoode","Radha Mitchell","Guang Li","Matthew Walker",125,R,-38972251,7.1
"James Gray","Charlize Theron","Ellen Burstyn","Faye Dunaway",115,R,-23117290,6.4
"Matthew Diamond","Chazz Palminteri","Garrett Clayton","Toni Braxton",88,G,-18935723,6.7
"Angelina Jolie Pitt","Brad Pitt","Angelina Jolie Pitt","Melvil Poupaud",122,R,-9468991,5.3
"Katsuhiro Ôtomo","William Hootkins","Robin Atkin Downes","Rosalind Ayres",103,PG-13,-2127109510,6.9
"David Anspaugh","Gerard Butler","Costas Mandylor","Jimmy Jean-Louis",101,PG,-19624526,6.2
"Andrew Jarecki","Ryan Gosling","Kirsten Dunst","Frank Langella",101,R,578382,6.3
"Kevin Reynolds","Esai Morales","Jason Scott Lee","Sandrine Holt",107,R,-19694930,6.4
"Stephen Chow","Jiao Xu","Yuqi Zhang","Chi Chung Lam",86,PG,206678,6.5
"Jean-Marie Poiré","Christian Clavier","Philippe Nahon","Marie-Anne Chazel",118,,-139853928,6
"Kevin Munroe","Marco St. John","Laura Spencer","Anita Briem",107,PG-13,-18816646,5.1
"Daniel Algrant","Al Pacino","Richard Schiff","Mark Webber",100,R,-21878028,5.5
,"Peter Vaughan","George Coulouris","Ewen Solon",30,,0,7.2
"Julie Taymor","Djimon Hounsou","Reeve Carney","Tom Conti",110,PG-13,-19736635,5.4
"Alejandro Amenábar","Emma Watson","Aaron Ashmore","Julian Richings",106,R,54734,5.7
"Jane Clark","Necar Zadegan","Traci Dinwiddie","Elea Oberon",7,,-13000,5.2
"Daniel Lee","Andy Lau","Sammo Kam-Bo Hung","Andy On",102,R,-25000000,6.2
"Mike Barker","Gerard Butler","Nicholas Lea","Callum Rennie",98,R,-20000000,6.7
"Wayne Thornley","Leonard Nimoy","Phil LaMarr","Noureen DeWulf",83,G,-20000000,5.8
"Gnana Rajasekaran","Mani Bharathi","Michael Lieber","Kevin McGowan",153,,0,7
"Tom Walsh","Joey D. Vieira","Maggie Wheeler","Jacqueline Lovell",98,PG,-20000000,4.8
"Jonathan Jakubowicz","Robert De Niro","Jurnee Smollett-Bell","Edgar Ramírez",105,R,-20000000,7.2
"James McTeigue","Milla Jovovich","Roger Rees","Robert Forster",96,PG-13,-20000000,5.6
"Scott Walker","Nicolas Cage","Radha Mitchell","Jodi Lyn O'Keefe",105,R,-27220000,6.4
"John Curran","Toby Jones","Sally Hawkins","Alan David",125,PG-13,-11352310,7.5
"Uli Edel","Moritz Bleibtreu","Alexandra Maria Lara","Martina Gedeck",184,R,-19523730,7.4
"Kevin Costner","Mary McDonnell","Michael Spears","Maury Chaykin",236,PG-13,162208848,8
"Jake Kasdan","Justin Timberlake","John Michael Higgins","Phyllis Smith",97,R,80292856,5.7
"Harold Becker","Al Pacino","Michael O'Neill","Ellen Barkin",113,R,39571513,6.8
"Mark Rosman","Dan Byrd","Lin Shaye","Julie Gonzalo",95,PG,31431160,5.9
"Wes Craven","David Arquette","W. Earl Brown","Roger Jackson",103,R,88001286,7.2
"Steve Beck","Shannon Elizabeth","Embeth Davidtz","F. Murray Abraham",91,R,21867960,5.5
"Stanley Kubrick","Scatman Crothers","Shelley Duvall","Joe Turkel",146,R,-19000000,8.4
"Robert Zemeckis","Lea Thompson","Thomas F. Wilson","J.J. Cohen",116,PG,191609762,8.5
"William Malone","Jeffrey Combs","Peter Gallagher","Bridgette Wilson-Sampras",93,R,21846082,5.6
"Tyler Perry","Eric Mendenhall","Mary J. Blige","Hope Olaide Wilson",113,PG-13,38697449,4.1
"Rob Hawk","Kari J. Kramer","Erin O'Brien","Cabrina Collesides",90,,-27000000,5
"Josh Gordon","Caroline Dhavernas","Scott Elrod","Kelli Barrett",101,PG-13,8758465,6.1
"Shawn Levy","Taran Killam","David Agranov","David Moscow",95,PG-13,38127162,5.4
"Lee Tamahori","Mem Ferda","Dominic Cooper","Ludivine Sagnier",109,R,-13642958,7.1
,"Nicole 'Snooki' Polizzi","Jenni 'Jwoww' Farley","Paul 'Pauly D' DelVecchio",43,TV-14,0,6.6
"Britt Allcroft","Mara Wilson","Colm Feore","Peter Fonda",85,G,-3088667,3.6
"Breck Eisner","Radha Mitchell","Glenn Morshower","John Aylward",101,R,19103378,6.5
"Hayao Miyazaki","Bunta Sugawara","Ryûnosuke Kamiki","Miyu Irino",125,PG,-8950114,8.6
"Alan Yuen","Andy Lau","Michael Wong","Terence Yin",118,,0,6.2
"Roger Donaldson","Liam Neeson","Anthony Hopkins","Laurence Olivier",132,PG,-16400000,7
"Brian Percival","Emily Watson","Sophie Nélisse","Roger Allam",131,PG-13,2483154,7.6
"Sean Anders","Katrina Bowden","Michael Cudlitz","Alice Greczyn",129,R,-10603058,6.5
"Anand Tucker","Adam Scott","Kaitlin Olson","Dominique McElligott",100,PG,-18987439,6.4
"Anthony Mann","James Mason","Mel Ferrer","Stephen Boyd",172,Approved,-19000000,6.7
"Michael Dowse","Topher Grace","Michael Biehn","Dan Fogler",97,R,-16076109,6.3
"Daniel Barnz","Holly Hunter","Rosie Perez","Dante Brown",121,PG,5308553,6.4
"Emile Ardolino","Darci Kistler","Kyra Nichols","Margaret Tracey",92,G,-16880006,5.7
"Robert Altman","Steve Buscemi","Jennifer Jason Leigh","Miranda Richardson",116,R,-17707473,6.3
"James Schamus","Logan Lerman","Sarah Gadon","Tracy Letts",110,R,560512,7.8
"Andrew Douglas","Jimmy Bennett","Chloë Grace Moretz","Ryan Reynolds",90,R,45255243,6
"Spike Jonze","Nicolas Cage","Meryl Streep","Roger Willie",81,R,3245861,7.7
"George A. Romero","Tony Nappo","Shawn Roberts","Pedro Miguel Arce",97,R,5433940,6.2
"Danny Pang","Louis Koo","Angelica Lee","Ching Wan Lau",107,PG-13,0,5.7
